lead_id,business_name,city,neighborhood,postal_code,category,assigned_sales_rep,sales_region,market_segment,market_subsegment,assignment_rule,matched_keywords,unassigned_reason,suspicious_reasons
89,Marmoraria Santana,Santana de Parnaíba,Cristal Park,06505-005,Fabricante,,,Varejo,marmorarias,,marmoraria,no_sales_region_matched,
90,Marmoraria Nova Jaguarí,Santana de Parnaíba,Chácara do Solar II (Fazendinha),06531-095,Fabricante,,,Varejo,marmorarias,,marmoraria,no_sales_region_matched,
91,Marmoraria Facilitte,Santana de Parnaíba,Jardim Bandeirantes,06517-520,Fabricante,,,Varejo,marmorarias,,marmoraria,no_sales_region_matched,
92,MARMORARIA GRAN ESTRELA,Santana de Parnaíba,Vila Velha,06532-145,Fabricante,,,Varejo,marmorarias,,marmoraria,no_sales_region_matched,
93,Marmoraria Zette,Santana de Parnaíba,Chácaras São Luís,06505,Fabricante,,,Varejo,marmorarias,,marmoraria,no_sales_region_matched,
94,Quiteria Mármores ltda,Santana de Parnaíba,aldeia da harmonia,06524-315,Fabricante,,,Varejo,marmorarias,,mármore,no_sales_region_matched,broad_keyword:marmore
95,Marmoraria,Santana de Parnaíba,Jardim Frediani,06502-155,Centro médico,,,Varejo,marmorarias,,marmoraria,no_sales_region_matched,
96,marmorariasantana,Santana de Parnaíba,lago azul,06513-030,Fabricante,,,Varejo,marmorarias,,marmoraria|marmorarias,no_sales_region_matched,
97,Marmoraria Moligran,Santana de Parnaíba,Sítio do Rosário,06503-000,Fabricante,,,Varejo,marmorarias,,marmoraria,no_sales_region_matched,
98,Empório das Rochas- Fábrica,Santana de Parnaíba,Campo da Vila,06501-235,Fabricante,,,,,,,no_sales_region_matched,
99,Hebrom marmores e granitos,Santana de Parnaíba,Campo da Vila,06501-235,Fabricante,,,Varejo,marmorarias,,mármore|granito,no_sales_region_matched,broad_keyword:granito|marmore
100,Guaturinho Mármores e Granitos,Santana de Parnaíba,Jardim para (Fazendinha),06530-461,Fabricante,,,Varejo,marmorarias,,marmoraria|mármore|granito,no_sales_region_matched,broad_keyword:granito|marmore
101,Mcc Mármores e Granitos,Santana de Parnaíba,Chácara do Solar I (Fazendinha),06530-001,Fabricante,,,Varejo,marmorarias,,mármore|granito,no_sales_region_matched,broad_keyword:granito|marmore
102,Marmoraria Sião Cruz,Santana de Parnaíba,Alphaville,06532-020,Fabricante,,,Varejo,marmorarias,,marmoraria|marmorarias,no_sales_region_matched,
103,Ornato Mármores & Granito,Santana de Parnaíba,Jardim Santa Marta (Fazendinha),06529-200,Fabricante,,,Varejo,marmorarias,,mármore|granito,no_sales_region_matched,broad_keyword:granito|marmore
104,Aplicador de manta asfáltica,São Paulo,Jardim Itapura,04466-035,,,,,,,,sao_paulo_missing_zone_signal,
105,Mlucio Serviços,Santana de Parnaíba,Jardim Jaguari,06533-210,Serviços,,,,,,,no_sales_region_matched,
106,MAGAZZU LTDA,Santana de Parnaíba,Parque dos Eucaliptos (Fazendinha),06530-125,Fabricante,,,,,,,no_sales_region_matched,
107,Imperlar Impermeabilização,Barueri,Parque Viana,06449-000,,,,Construção Civil,aplicadores de impermeabilização,,impermeabilização,no_sales_region_matched,
108,"Imper Dantas SP - Impermeabilização (Coberturas Metálicas, Galvanizadas, Fibrocimento, Reservatórios, Silos, Piscinas, Etc)",Cotia,Granja Viana,06708-060,Serviços,,,Construção Civil,aplicadores de impermeabilização,,impermeabilização,no_sales_region_matched,
109,Seladin Impermeabilizantes e isolantes térmicos,São Paulo,Vila Santa Catarina,04375-050,Serviços,,,Construção Civil,aplicadores de impermeabilização,,impermeabilizante,sao_paulo_missing_zone_signal,
110,Zero Infiltração,São Paulo,Butantã,05368-110,,,,,,,,sao_paulo_missing_zone_signal,
111,Agatux Impermeabilização e Serviços Ltda,São Paulo,Jardim Susana,04784-000,Serviços,,,Construção Civil,aplicadores de impermeabilização,,impermeabilização,sao_paulo_missing_zone_signal,
112,Cruz Imper Impermeabilizações,Várzea Paulista,Jardim America,13222-340,,,,,,,,no_sales_region_matched,
113,Purcom Química,Santana de Parnaíba,Chácaras Marco,06419-260,,,,,,,,no_sales_region_matched,
114,EMPORIO DULAR,Santana de Parnaíba,Jardim Isaura,06516-050,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
115,Alphanorte,Santana de Parnaíba,Alphaville,06532-040,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
116,MK DISTRIBIDORA LTDA,Santana de Parnaíba,Chácara do Solar I (Fazendinha),06530-001,Distribuidoras,,,,,,,no_sales_region_matched,
117,Natrielli Química,Santana de Parnaíba,Jardim Represa (Fazendinha),06529-220,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
118,Danngroup Tintas & Resinas,Santana de Parnaíba,Chácara do Solar I (Fazendinha),06530-025,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
119,EUROTECHNIKER IND. E COM. LTDA.,Santana de Parnaíba,Chácaras São Luís,06504-044,Distribuidoras,,,,,,,no_sales_region_matched,
120,Hi Tech Tintas S.A,Santana de Parnaíba,,06530-025,Fabricante,,,,,,,no_sales_region_matched,
121,MGM DISTRIBUIDORA,Barueri,Jardim Belval,06422-122,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
122,ROCHA COMERCIO DE ACO LTDA,Santana de Parnaíba,Votuparim,06513-025,Fabricante,,,,,,,no_sales_region_matched,
123,AÇOS SILVA - SERRALHERIA EM SANTANA DE PARNAÍBA,Santana de Parnaíba,Parque Santana,06515-240,Fabricante,,,,,,,no_sales_region_matched,
124,Aços Urano Distribuidora de Produtos Siderúrgicos,Santana de Parnaíba,Fazendinha,06530-015,Fabricante,,,,,,,no_sales_region_matched,
125,PLANETA FERRAGEM PARAFUSOS E FERRAMENTAS - Loja autorizada STIHL,Cajamar,Ipês (Polvilho),07750-000,Distribuidoras,,,,,,,no_sales_region_matched,
126,MABEN Parafusos e Ferramentas Barueri Alphavile,Barueri,Vila Pindorama,06415-000,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
127,Marson Atacado & Distribuição,Cajamar,Empresarial Mirante de,07790-740,Fabricante,,,,,,,no_sales_region_matched,
128,Ferro Aço Para serralheria e construções metalicas,Santana de Parnaíba,Sítio do Rosário,06514-105,Fabricante,,,,,,,no_sales_region_matched,
129,Texdry Especialidades Têxteis,Santana de Parnaíba,,06530-015,Atacadista,,,,,,,no_sales_region_matched,
135,Maliber Indústria e Comércio Têxtil Ltda,Itatiba,da Posse,13252-815,Fabricante,,,,,,,no_sales_region_matched,
137,Brancotex Indústrias Químicas,Barueri,Jardim Belval,06423-030,Fabricante,,,,,,,no_sales_region_matched,
138,Agata Indústria Comércio Utilidade Doméstica,Santana de Parnaíba,Chácara do Solar I (Fazendinha),06530-010,Fabricante,,,,,,,no_sales_region_matched,
139,Sedmem Industrial,Santana de Parnaíba,Jardim Rancho Alegre,06515-205,Fabricante,,,,,,,no_sales_region_matched,
140,USE Lingerie - Santana de Parnaíba - Revenda em consignação e atacado,Santana de Parnaíba,Jardim do Luar (Fazendinha),06529-001,Loja de Roupa,,,,,,,no_sales_region_matched,
141,Indústrias Têxteis Aziz Nader,Barueri,Vila Sao Silvestre,06412-000,Fabricante,,,,,,,no_sales_region_matched,
142,Cooperuni Cooperativa de Produção de Higiene e Limpeza,Santana de Parnaíba,Jardim Santa Marta (Fazendinha),06529-195,Fabricante,,,,,,,no_sales_region_matched,
143,Lavebras Gestão de Têxteis S.A.,Santana de Parnaíba,Vila Anoral,06528-551,Escritório da empresa,,,,,,,no_sales_region_matched,
144,Nakano prefabricados,Santana de Parnaíba,Chácaras São Luís,06504-080,Fabricante,,,,,,,no_sales_region_matched,
145,Suzantextil,Suzano,Jardim Sao Bernardino,08695-820,Fabricante,,,,,,,no_sales_region_matched,
146,Kamurtex,Jandira,Jardim Alvorada,06612-120,Fabricante,,,,,,,no_sales_region_matched,
147,Kipratico Produtos do Lar,Santana de Parnaíba,Jardim Diva (Fazendinha),06530-445,Loja de Roupa,,,,,,,no_sales_region_matched,
148,Dacam Tecidos Aviamentos e Utilidades,Cajamar,Portal Dos Ipês,07790-845,Loja de artigos domésticos,,,,,,,no_sales_region_matched,
149,WOODT DESIGN,Santana de Parnaíba,Jardim Frediani,06502-158,,,,,,,,no_sales_region_matched,
150,Móveis planejados - Souza Company,Santana de Parnaíba,Chácara do Solar II (Fazendinha),06531-080,Empreiteira,,,,,,,no_sales_region_matched,
151,Beraldo Oficina de Móveis,Santana de Parnaíba,Quintas do Ingaí,06519-020,Fabricante,,,,,,,no_sales_region_matched,
152,Marcenaria Audácia,Santana de Parnaíba,Jardim Diva (Fazendinha),06530-445,,,,,,,,no_sales_region_matched,
153,Promobily - Comércio de Móveis Planejados,Santana de Parnaíba,Alphaville,06532-040,Loja de móveis,,,,,,,no_sales_region_matched,
154,WM Marcenaria Móveis Planejados sonhos,Santana de Parnaíba,Jardim Alagoas,06528-330,Loja,,,,,,,no_sales_region_matched,
155,A2M Marcenaria,Santana de Parnaíba,Jardim Isaura,06516-050,Empreiteira,,,,,,,no_sales_region_matched,
156,Penteadeira Camarim BR,Santana de Parnaíba,Bela Vista,06540-427,Fabricante,,,,,,,no_sales_region_matched,
157,Marcenaria Pará - Móveis Rústicos,Santana de Parnaíba,Parque Santana,06515-010,Fabricante,,,,,,,no_sales_region_matched,
158,Acw Móveis Planejados Ltda,Santana de Parnaíba,Jardim Bandeirantes,06513-060,,,,,,,,no_sales_region_matched,
159,Grupo RP,Santana de Parnaíba,Chácara do Solar I (Fazendinha),06530-040,Fabricante,,,,,,,no_sales_region_matched,
160,Huffix Mobiliário Corporativo,Santana de Parnaíba,Chácara do Solar II (Fazendinha),06530-245,Atacadista,,,,,,,no_sales_region_matched,
161,Planeta Moveleiro Móveis Planejados,Santana de Parnaíba,Cidade São Pedro - Gleba C,06535-400,Loja de móveis,,,,,,,no_sales_region_matched,
162,RP Prime Marcenaria,Santana de Parnaíba,Recanto Maravilha III,06523-140,Empreiteira,,,,,,,no_sales_region_matched,
163,Arte Móveis Marcenaria,Santana de Parnaíba,Parque Alvorada,06517-235,,,,,,,,no_sales_region_matched,
164,Móveis Planejados Santana de Parnaíba,Santana de Parnaíba,Jardim Frediani,06502-158,,,,,,,,no_sales_region_matched,
165,SIX MOBI,Santana de Parnaíba,Fazendinha,06529-195,Loja de móveis,,,,,,,no_sales_region_matched,
166,Marcenaria do Nohara,Santana de Parnaíba,Distrito Industrial Cururuquara,06524-122,,,,,,,,no_sales_region_matched,
167,MKS SUPRIMENTOS HIDRAULICOS,Santana de Parnaíba,Chácaras São Luís,06504-150,Fabricante,,,,,,,no_sales_region_matched,
171,AMH USINAGEM LTDA.,Santana de Parnaíba,Jardim Anhembi,06513-255,Mecânica para carros,,,,,,,no_sales_region_matched,
172,Fci industrial ltda,Santana de Parnaíba,Suru,06504-150,Fabricante,,,,,,,no_sales_region_matched,
173,Ateliê da Ana,Santana de Parnaíba,jd sao luiz,06502-210,,,,,,,,no_sales_region_matched,
175,INDÚSTRIA VANNUCCI,Santana de Parnaíba,Chácara do Solar II (Fazendinha),06530-005,Fabricante,,,,,,,no_sales_region_matched,
176,ARIM COMPONENTES S.A.,Santana de Parnaíba,VÁRZEA DE SOUZA,06528-551,Fabricante,,,,,,,no_sales_region_matched,
178,RAS INDUSTRIAL COMERCIAL LTDA,Santana de Parnaíba,Chácaras São Luís,06504-001,Fabricante,,,,,,,no_sales_region_matched,
179,CENTER RUBBER DO BRASIL | ACUMULADORES,Santana de Parnaíba,Chácaras São Luís,06504-150,Fabricante,,,,,,,no_sales_region_matched,
180,Fapema Usinagem (Fapema Indústria Mecânica ltda),Santana de Parnaíba,Jardim Nina (Fazendinha),06529-350,Fabricante,,,,,,,no_sales_region_matched,
181,Sonitron Ultra Sonica Ltda.,Santana de Parnaíba,Chácara Estela,06513-100,Fabricante,,,,,,,no_sales_region_matched,
182,Metalur Brasil Industria e Comercio de Metais,Araçariguama,Ronda,18147-000,Loja,,,,,,,no_sales_region_matched,
183,CIE Engrecon S/A,Santana de Parnaíba,Centro,06501-001,Fabricante,,,,,,,no_sales_region_matched,
185,Garra Caldeiraria,Santana de Parnaíba,Polvilho,06505-025,Fabricante,,,,,,,no_sales_region_matched,
186,Química Moderna Indústria e Comércio,Santana de Parnaíba,Chácaras São Luís,06504-080,Fabricante,,,,,,,no_sales_region_matched,
187,IsoTech Indústria e Comércio de Especialidades Químicas Ltda,Santana de Parnaíba,Jardim Represa (Fazendinha),06529-240,Fabricante,,,,,,,no_sales_region_matched,
188,Murano Química,Santana de Parnaíba,Santa Marta,06529-200,Fabricante,,,,,,,no_sales_region_matched,
192,Boraquimica,Santana de Parnaíba,Jardim da Varzea,06530-075,Fabricante,,,,,,,no_sales_region_matched,
193,Nicrom Química Ltda,Santana de Parnaíba,Colinas da Anhanguera,06543-306,Serviços,,,,,,,no_sales_region_matched,
194,Ultra Química Verde,Santana de Parnaíba,Chácaras São Luís,06504-080,Escritório da empresa,,,,,,,no_sales_region_matched,
195,SKILL,Santana de Parnaíba,Chácara São Luis,06504-150,Fabricante,,,,,,,no_sales_region_matched,
196,EFTEC Brasil Ltda,Santana de Parnaíba,Distrito Industrial Cururuquara,06524-115,Fabricante,,,,,,,no_sales_region_matched,
197,Retilox Química Especial,Santana de Parnaíba,Jardim Santa Marta (Fazendinha),06529-195,Fabricante,,,,,,,no_sales_region_matched,
198,Chryso_Brasil,Santana de Parnaíba,Jardim da Varzea,06530-071,Fabricante,,,,,,,no_sales_region_matched,
199,ADCO Indústria de Aditivos para Concreto,Santana de Parnaíba,Chácaras São Luís,06504-008,Fabricante,,,,,,,no_sales_region_matched,
201,Refrigeração Frio Primos,Santana de Parnaíba,Fazendinha,06529-010,Serviços,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
202,BEAR Assistência Técnica Refrigeração,Santana de Parnaíba,Cristal Park,06505-040,Serviços,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
203,Solucionar Assistência Técnica Especializada em Refrigeração e Lavadoras,Santana de Parnaíba,Fazendinha,06530-005,Serviços,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
204,Refrigeracao Cristal Park,Santana de Parnaíba,Cristal Park,06505-025,Consultoria,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
205,JR.soluções em refrigeração,Santana de Parnaíba,Cidade São Pedro - Gleba A,06535-201,Serviços,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
206,RJ Refrigeração Juventino,Santana de Parnaíba,Jardim Isaura,06516-055,Serviços,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
207,Refrigeração K.s,Santana de Parnaíba,Chácara do Solar III,06528-100,Ponto de interesse,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
208,Refrigeração Santos Peças e Serviços,Barueri,Vila Engenho Novo,06416-150,Serviços,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
209,Rh Ar Condicionado e Refrigeração,Santana de Parnaíba,Jardim Professor Benoa,06502-025,Serviços,,,Varejo,refrigeração,,refrigeração|ar condicionado,no_sales_region_matched,broad_keyword:ar condicionado|refrigeracao
210,Ice Martins Ltda,Santana de Parnaíba,Alphaville,06539-010,Empreiteira,,,,,,,no_sales_region_matched,
211,HC FRIMAQ / REFRIGERAÇÃO E CLIMATIZAÇÃO,Santana de Parnaíba,Parque Santana II,06515-070,Serviços,,,Varejo,refrigeração,,refrigeração|climatização,no_sales_region_matched,broad_keyword:climatizacao|refrigeracao
212,Refricor comércio é serviço de refrigeração,Barueri,Jardim California,06409-000,Serviços,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
213,ISATEC ASSISTÊNCIA TÉCNICA - SANTANA DE PARNAIBA SP,Santana de Parnaíba,Recanto Silvestre (Fazendinha),06530-240,Serviços,,,,,,,no_sales_region_matched,
214,Timer frio Ar- condicionado,Santana de Parnaíba,Jardim Sao Luis,06502-335,Empreiteira,,,Varejo,refrigeração,,ar condicionado,no_sales_region_matched,broad_keyword:ar condicionado|single_keyword_broad_subsegment
215,Refrigeração Cruz,Pirapora do Bom Jesus,Parque Payol I e II,06550-000,Loja de artigos domésticos,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
216,CSV REFRIGERAÇÃO INDUSTRIAL,Barueri,Vila Morellato,06408-080,Fabricante,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
217,Eletro t.c assistência técnica em geral,Santana de Parnaíba,Chácara do Solar II (Fazendinha),06528-090,Serviços,,,,,,,no_sales_region_matched,
218,JN Refrigeração,Santana de Parnaíba,Vila Engenho Novo,06416-070,Ponto de interesse,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
219,Depósito Alemão Materiais Para Construção,Pirapora do Bom Jesus,Itaguara Parque,06550-000,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
220,Moisés Santos Construções,Pirapora do Bom Jesus,Jardim Bom Jesus,06550-000,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
221,Lajes Igaveta,Araçariguama,Igaveta,18147-391,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
222,Romeiros Materiais para Construção,Santana de Parnaíba,Centro,06501-001,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
223,Academia do Marketplace | Cursos e Consultoria para E-Commerce (Loja Virtual e Marketplace),Santana de Parnaíba,Jardim Sao Luis,06502-210,Instituição educacional,,,E-commerce,marketplace / loja virtual,,marketplace|loja virtual|e-commerce,no_sales_region_matched,broad_keyword:e commerce|loja virtual|marketplace
224,Center Tudo,São Paulo,Bela Vista,01330-000,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
225,Cbr confiança materiais para construção,São Paulo,Bela Vista,01328-010,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
226,City Materiais de Construção,São Paulo,Santa Ifigênia,01208-012,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
227,Materiais de Construção Casa 9 De Julho,São Paulo,Bela Vista,01312-000,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
228,MB Materiais de Construção,São Paulo,Pinheiros,05404-012,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
229,Atacadão Augusta Materiais para Construção,São Paulo,Consolação,01304-001,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
230,JB Materiais de Construção,São Paulo,Bela Vista,01328-020,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
231,Innova Casa,São Paulo,Consolação,01307-000,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
232,Riachuelo75 Materiais,São Paulo,Sé,01007-000,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
233,Casa Moura Materiais para Construção,São Paulo,Bela Vista,01319-030,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,sao_paulo_missing_zone_signal,
